Key,Sensitivity,Factor,Case
VOCCO - toe,203.69556926841005,VOCCO,toe
VOCCO - toe,179.24088879973954,VOCCO,toe
VOCCO - toe,166.49412826468586,VOCCO,toe
VOCCO - toe,199.0693281893271,VOCCO,toe
VOCCO - toe,174.69981399746226,VOCCO,toe
VOCCO - toe,183.86275519580875,VOCCO,toe
VOCCO - toe,217.1979229972234,VOCCO,toe
VOCCO - toe,198.42881604282167,VOCCO,toe
VOCCO - toe,197.46466847175662,VOCCO,toe
VOCCO - toe,201.94229897793335,VOCCO,toe
VOCCO - toe,155.01317846691086,VOCCO,toe
VOCCO - toe,192.62416700842448,VOCCO,toe
VOCCO - toe,195.74972609490158,VOCCO,toe
VOCCO - toe,206.92760618957894,VOCCO,toe
VOCCO - toe,195.15395429566627,VOCCO,toe
VOCCO - toe,194.7729848964017,VOCCO,toe
VOCCO - toe,190.9970272164803,VOCCO,toe
VOCCO - toe,193.38916839534167,VOCCO,toe
VOCCO - toe,189.54352208920682,VOCCO,toe
VOCCO - toe,189.74761961610093,VOCCO,toe
VOCCO - toe,199.9834322818129,VOCCO,toe
VOCCO - toe,198.92016636694183,VOCCO,toe
VOCCO - toe,194.0547832871184,VOCCO,toe
VOCCO - toe,177.4341642575971,VOCCO,toe
VOCCO - toe,189.2812795835203,VOCCO,toe
VOCCO - toe,196.60280312370247,VOCCO,toe
VOCCO - toe,163.85584389329424,VOCCO,toe
VOCCO - toe,190.83767297508822,VOCCO,toe
VOCCO - toe,190.63285253641328,VOCCO,toe
VOCCO - toe,210.3182018185452,VOCCO,toe
VOCCO - toe,190.140026534343,VOCCO,toe
VOCCO - toe,211.32130991969225,VOCCO,toe
VOCCO - toe,184.038618258724,VOCCO,toe
VOCCO - toe,184.0803759749333,VOCCO,toe
VOCCO - toe,194.12757207997166,VOCCO,toe
VOCCO - toe,200.55062311256648,VOCCO,toe
VOCCO - toe,210.98220439269434,VOCCO,toe
VOCCO - toe,205.53934637080076,VOCCO,toe
